domain,key,en,ko,aliases
gem,Metadata/Items/Gems/SkillGemAbidingHexSupport,Abiding Hex,지속 사술,
gem,Metadata/Items/Gems/SkillGemAcrimonySupport,Acrimony,악감정,
gem,Metadata/Items/Gems/SkillGemAddedChaosDamageSupport,Chaos Attunement,카오스 조율,
gem,Metadata/Items/Gems/SkillGemAddedColdDamageSupport,Cold Attunement,냉기 조율,
gem,Metadata/Items/Gems/SkillGemAddedFireDamageSupport,Fire Attunement,화염 조율,
gem,Metadata/Items/Gems/SkillGemAddedLightningDamageSupport,Lightning Attunement,번개 조율,
gem,Metadata/Items/Gems/SkillGemAdhesiveGrenadesSupport,Adhesive Grenades I,점착 수류탄 I,
gem,Metadata/Items/Gems/SkillGemAdhesiveGrenadesSupportTwo,Adhesive Grenades II,점착 수류탄 II,
gem,Metadata/Items/Gems/SkillGemAdmixtureSupport,Admixture,혼합,
gem,Metadata/Items/Gems/SkillGemAdvancingStormSupport,Advancing Storm,전진 폭풍,
gem,Metadata/Items/Gems/SkillGemAftershockChanceSupport,Aftershock I,여진 I,
gem,Metadata/Items/Gems/SkillGemAftershockChanceSupportTwo,Aftershock II,여진 II,
gem,Metadata/Items/Gems/SkillGemAhnsCitadelSupport,Ahn's Citadel,Ahn's 성채,
gem,Metadata/Items/Gems/SkillGemAilithLineageSupport,Ailith's Chimes,Ailith's 종소리,
gem,Metadata/Items/Gems/SkillGemAlchemistsBoon,Alchemist's Boon,Alchemist's 은혜,
gem,Metadata/Items/Gems/SkillGemAlignmentSupport,Alignment I,정렬 I,
gem,Metadata/Items/Gems/SkillGemAlignmentSupportThree,Alignment III,정렬 III,
gem,Metadata/Items/Gems/SkillGemAlignmentSupportTwo,Alignment II,정렬 II,
gem,Metadata/Items/Gems/SkillGemAmanamusTitheSupport,Amanamu's Tithe,Amanamu's Tithe,
gem,Metadata/Items/Gems/SkillGemAmbrosiaSupport,Ambrosia,암브로시아,
gem,Metadata/Items/Gems/SkillGemAmbrosiaSupportTwo,Ambrosia II,암브로시아 II,
gem,Metadata/Items/Gems/SkillGemAmbushSupport,Ambush,매복,
gem,Metadata/Items/Gems/SkillGemAmmoConservationSupport,Ammo Conservation I,탄약 보존 I,
gem,Metadata/Items/Gems/SkillGemAmmoConservationSupportFour,Arjun's Medal,Arjun's 메달,
gem,Metadata/Items/Gems/SkillGemAmmoConservationSupportThree,Ammo Conservation III,탄약 보존 III,
gem,Metadata/Items/Gems/SkillGemAmmoConservationSupportTwo,Ammo Conservation II,탄약 보존 II,
gem,Metadata/Items/Gems/SkillGemAncestralAidSupport,Ancestral Aid,선조 지원,
gem,Metadata/Items/Gems/SkillGemAncestralCallSupport,Ancestral Call I,선조 부름 I,
gem,Metadata/Items/Gems/SkillGemAncestralCallSupportTwo,Ancestral Call II,선조 부름 II,
gem,Metadata/Items/Gems/SkillGemAncestralCry,Ancestral Cry,선조 함성,
gem,Metadata/Items/Gems/SkillGemAncestralSpriits,Ancestral Spirits,선조 혼령,
gem,Metadata/Items/Gems/SkillGemAncestralWarriorTotem,Ancestral Warrior Totem,선조 전사 토템,
gem,Metadata/Items/Gems/SkillGemApocalypse,Apocalypse,종말,
gem,Metadata/Items/Gems/SkillGemArakaalisLustSupport,Arakaali's Lust,Arakaali's 욕망,
gem,Metadata/Items/Gems/SkillGemArbitersIngitionSupport,Arbiter's Ignition,Arbiter's Ignition,
gem,Metadata/Items/Gems/SkillGemArc,Arc,전기불꽃,
gem,Metadata/Items/Gems/SkillGemArcaneSurgeSupport,Arcane Surge,Arcane Surge,
gem,Metadata/Items/Gems/SkillGemArchmage,Archmage,Archmage,
gem,Metadata/Items/Gems/SkillGemArcticArmour,Arctic Armour,Arctic 방어도,
gem,Metadata/Items/Gems/SkillGemArmourBreakSupport,Armour Break I,방어도 파괴 I,
gem,Metadata/Items/Gems/SkillGemArmourBreakSupportThree,Armour Break III,방어도 파괴 III,
gem,Metadata/Items/Gems/SkillGemArmourBreakSupportTwo,Armour Break II,방어도 파괴 II,
gem,Metadata/Items/Gems/SkillGemArmourBreaker,Armour Breaker,방어도 Breaker,
gem,Metadata/Items/Gems/SkillGemArmourDemolisherSupport,Armour Demolisher I,방어도 Demolisher I,
gem,Metadata/Items/Gems/SkillGemArmourDemolisherSupportTwo,Armour Demolisher II,방어도 Demolisher II,
gem,Metadata/Items/Gems/SkillGemArmourExplosionSupport,Armour Explosion,방어도 폭발,
gem,Metadata/Items/Gems/SkillGemArmourPiercingRounds,Armour Piercing Rounds,방어도 Piercing Rounds,
gem,Metadata/Items/Gems/SkillGemArmsLengthSupport,Arms Length,Arms Length,
gem,Metadata/Items/Gems/SkillGemArtilleryBallista,Artillery Ballista,Artillery Ballista,
gem,Metadata/Items/Gems/SkillGemAscendancyAlignFate,Align Fate,Align Fate,
gem,Metadata/Items/Gems/SkillGemAscendancyBleedingConcoction,Bleeding Concoction,출혈 혼합물,
gem,Metadata/Items/Gems/SkillGemAscendancyCorpseBeetles,Kelari's Malediction,Kelari's Malediction,
gem,Metadata/Items/Gems/SkillGemAscendancyElementalExpression,Elemental Expression,원소 Expression,
gem,Metadata/Items/Gems/SkillGemAscendancyElementalStorm,Elemental Storm,원소 폭풍,
gem,Metadata/Items/Gems/SkillGemAscendancyEncasedInJade,Encase in Jade,Encase in Jade,
gem,Metadata/Items/Gems/SkillGemAscendancyExplosiveConcoction,Explosive Concoction,Explosive 혼합물,
gem,Metadata/Items/Gems/SkillGemAscendancyFulminatingConcoction,Fulminating Concoction,Fulminating 혼합물,
gem,Metadata/Items/Gems/SkillGemAscendancyLifeRemnants,Life Remnants,생명력 Remnants,
gem,Metadata/Items/Gems/SkillGemAscendancyMeditate,Meditate,Meditate,
gem,Metadata/Items/Gems/SkillGemAscendancyMomentOfVulnerability,Moment of Vulnerability,Moment의 Vulnerability,
gem,Metadata/Items/Gems/SkillGemAscendancyPoisonousConcoction,Acidic Concoction,Acidic 혼합물,
gem,Metadata/Items/Gems/SkillGemAscendancyShatteringConcoction,Shattering Concoction,Shattering 혼합물,
gem,Metadata/Items/Gems/SkillGemAscendancySummonFireDjinn,"Ruzhan, the Blazing Sword","Ruzhan, the Blazing Sword",
gem,Metadata/Items/Gems/SkillGemAscendancySummonInfernalHound,Summon Infernal Hound,Summon Infernal Hound,
gem,Metadata/Items/Gems/SkillGemAscendancySummonSandDjinn,"Kelari, the Tainted Sands","Kelari, the Tainted Sands",
gem,Metadata/Items/Gems/SkillGemAscendancySummonWaterDjinn,"Navira, the Last Mirage","Navira, the Last Mirage",
gem,Metadata/Items/Gems/SkillGemAscendancyTriggerElementalSurge,Elemental Surge,원소 Surge,
gem,Metadata/Items/Gems/SkillGemAscendancyUnboundAvatar,Unbound Avatar,Unbound 화신,
gem,Metadata/Items/Gems/SkillGemAstralProjectionSupport,Astral Projection,Astral Projection,
gem,Metadata/Items/Gems/SkillGemAtaluiBloodlettingSupport,Atalui's Bloodletting,Atalui's Bloodletting,
gem,Metadata/Items/Gems/SkillGemAttrition,Attrition,Attrition,
gem,Metadata/Items/Gems/SkillGemAtzirisAllureSupport,Atziri's Allure,Atziri's Allure,
