domain,key,en,ko,aliases
base,Abyssal Cuirass,Abyssal Cuirass,심연 흉갑,
base,Abyssal Flail,Abyssal Flail,심연 도리깨,
base,Abyssal Signet,Abyssal Signet,심연 인장 반지,
base,Acrid Wand,Acrid Wand,매캐한 마법봉,
base,Adherent Bow,Adherent Bow,추종자 활,
base,Adherent Cuffs,Adherent Cuffs,추종자 소맷단,
base,Adherent Leggings,Adherent Leggings,추종자 각반,
base,Adherent's Raiment,Adherent's Raiment,Adherent's 의복,
base,Adorned Gloves,Adorned Gloves,장식된 Gloves,
base,Adorned Wraps,Adorned Wraps,장식된 손싸개,
base,Aegis Buckler,Aegis Buckler,수호 버클러,
base,Aegis Quarterstaff,Aegis Quarterstaff,수호 육척봉,
base,Aged Cuffs,Aged Cuffs,낡은 소맷단,
base,Aged Tower Shield,Aged Tower Shield,낡은 타워 방패,
base,Akoyan Club,Akoyan Club,Akoyan 곤봉,
base,Akoyan Spear,Akoyan Spear,Akoyan 창,
base,Alloy Crossbow,Alloy Crossbow,합금 쇠뇌,
base,Alpha Talisman,Alpha Talisman,Alpha 부적,
base,Altar Robe,Altar Robe,Altar 로브,
base,Amber Amulet,Amber Amulet,호박 목걸이,
base,Amethyst Charm,Amethyst Charm,자수정 참,
base,Amethyst Ring,Amethyst Ring,자수정 반지,
base,Ancestor Tower Shield,Ancestor Tower Shield,선조 타워 방패,
base,Ancestral Mail,Ancestral Mail,선조 갑옷,
base,Ancestral Tiara,Ancestral Tiara,선조 관,
base,Anchorite Garb,Anchorite Garb,은둔자 복장,
base,Ancient Buckler,Ancient Buckler,고대 버클러,
base,Ancient Cuffs,Ancient Cuffs,고대 소맷단,
base,Ancient Greatblade,Ancient Greatblade,고대 대검,
base,Ancient Mitts,Ancient Mitts,고대 장갑,
base,Anima Quarterstaff,Anima Quarterstaff,Anima 육척봉,
base,Antidote Charm,Antidote Charm,해독제 참,
base,Antler Focus,Antler Focus,뿔 집중구,
base,Anvil Maul,Anvil Maul,모루 대형 망치,
base,Apostle Leggings,Apostle Leggings,Apostle 각반,
base,Arcane Dirk,Arcane Dirk,Arcane Dirk,
base,Arcane Raiment,Arcane Raiment,Arcane 의복,
base,Arced Claw,Arced Claw,Arced Claw,
base,Arced Longsword,Arced Longsword,Arced Longsword,
base,Arched Greataxe,Arched Greataxe,Arched Greataxe,
base,Archon Crown,Archon Crown,Archon Crown,
base,Arcing Quarterstaff,Arcing Quarterstaff,Arcing 육척봉,
base,Armoured Cap,Armoured Cap,Armoured Cap,
base,Armoured Claw,Armoured Claw,Armoured Claw,
base,Armoured Vest,Armoured Vest,Armoured Vest,
base,Aromatic Sceptre,Aromatic Sceptre,Aromatic Sceptre,
base,Array Buckler,Array Buckler,Array 버클러,
base,Arrayed Focus,Arrayed Focus,Arrayed 집중구,
base,Artillery Bow,Artillery Bow,Artillery 활,
base,Ascetic Garb,Ascetic Garb,Ascetic 복장,
base,Ashbark Talisman,Ashbark Talisman,Ashbark 부적,
base,Ashen Staff,Ashen Staff,Ashen Staff,
base,Assassin Garb,Assassin Garb,Assassin 복장,
base,Attuned Focus,Attuned Focus,Attuned 집중구,
base,Attuned Wand,Attuned Wand,Attuned 마법봉,
base,Aureate Targe,Aureate Targe,Aureate Targe,
base,Austere Garb,Austere Garb,Austere 복장,
base,Avian Mask,Avian Mask,Avian Mask,
base,Avian Robe,Avian Robe,Avian 로브,
base,Avian Targe,Avian Targe,Avian Targe,
base,Avian Tiara,Avian Tiara,Avian 관,
base,Azure Amulet,Azure Amulet,Azure 목걸이,
base,Bandage Wraps,Bandage Wraps,Bandage 손싸개,
base,Bandit Hatchet,Bandit Hatchet,Bandit Hatchet,
base,Bandit Mace,Bandit Mace,Bandit Mace,
base,Bandit Mask,Bandit Mask,Bandit Mask,
base,Bangled Sandals,Bangled Sandals,Bangled Sandals,
base,Barbarian Plate,Barbarian Plate,Barbarian Plate,
base,Barbarous Quarterstaff,Barbarous Quarterstaff,Barbarous 육척봉,
base,Barbed Bracers,Barbed Bracers,Barbed Bracers,
base,Barbed Spear,Barbed Spear,Barbed 창,
base,Baroque Gloves,Baroque Gloves,Baroque Gloves,
base,Baroque Targe,Baroque Targe,Baroque Targe,
base,Barricade Tower Shield,Barricade Tower Shield,Barricade 타워 방패,
base,Barrier Quarterstaff,Barrier Quarterstaff,방벽 육척봉,
base,Bastion Sabatons,Bastion Sabatons,Bastion Sabatons,
base,Battle Axe,Battle Axe,Battle Axe,
base,Battle Pick,Battle Pick,Battle Pick,
base,Beaded Circlet,Beaded Circlet,Beaded Circlet,
base,Bearded Axe,Bearded Axe,Bearded Axe,
base,Bearskin Mantle,Bearskin Mantle,Bearskin Mantle,
base,Blackfire Crossbow,Blackfire Crossbow,Blackfire 쇠뇌,
base,Blacksmith Maul,Blacksmith Maul,Blacksmith 대형 망치,
base,Blacksteel Crest Shield,Blacksteel Crest Shield,Blacksteel Crest 방패,
base,Blacksteel Gauntlets,Blacksteel Gauntlets,Blacksteel Gauntlets,
base,Blacksteel Sabatons,Blacksteel Sabatons,Blacksteel Sabatons,
base,Blacksteel Tower Shield,Blacksteel Tower Shield,Blacksteel 타워 방패,
base,Bladed Quarterstaff,Bladed Quarterstaff,Bladed 육척봉,
base,Bladed Shoes,Bladed Shoes,Bladed Shoes,
base,Bladeguard Buckler,Bladeguard Buckler,Bladeguard 버클러,
base,Blazon Crest Shield,Blazon Crest Shield,Blazon Crest 방패,
base,Bleak Crossbow,Bleak Crossbow,Bleak 쇠뇌,
base,Blessed Claymore,Blessed Claymore,Blessed Claymore,
base,Bloodletting Dagger,Bloodletting Dagger,Bloodletting Dagger,
base,Bloodstone Amulet,Bloodstone Amulet,Bloodstone 목걸이,
