domain,key,en,ko,aliases
tree_dn,10011,Damage vs Blinded,피해 상대 실명,
tree_dn,10029,Repulsion,밀쳐내기,
tree_dn,10041,Ailment Threshold and Companion Resistance,상태 이상 한계값 및 동료 저항,
tree_dn,10047,Stun Buildup,기절 누적,
tree_dn,10053,Combat Alchemy,전투 연금술,
tree_dn,10055,Minion Life and Chaos Resistance,소환수 생명력 및 카오스 저항,
tree_dn,10058,Chaos Mastery,카오스 숙련,
tree_dn,10072,Block Chance,막기 확률,
tree_dn,10079,Energy Shield Recharge,에너지 보호막 재충전,
tree_dn,10100,Attribute,능력치,
tree_dn,10131,Attribute,능력치,
tree_dn,10156,Attribute,능력치,
tree_dn,10159,Mana Regeneration,마나 재생,
tree_dn,10162,Power Charge Mastery,권능 충전 숙련,
tree_dn,1019,Armour and Evasion,방어도 및 회피,
tree_dn,10192,Elemental Damage,원소 피해,
tree_dn,1020,Quiver Effect,화살통 효과,
tree_dn,10208,Stun and Ailment Threshold from Energy Shield,기절 및 상태 이상 한계값에서 에너지 보호막,
tree_dn,10242,Life Recoup,생명력 회생,
tree_dn,10245,Attack Mastery,공격 숙련,
tree_dn,10247,Attribute,능력치,
tree_dn,10251,Stun Buildup,기절 누적,
tree_dn,10260,Channelling Damage,집중 유지 피해,
tree_dn,10265,Javelin,투창,
tree_dn,10267,Attack Cold Damage and Freeze Buildup,공격 냉기 피해 및 동결 누적,
tree_dn,10271,Attack Damage while Surrounded,공격 피해 동안 포위,
tree_dn,10273,All Attributes,모든 능력치,
tree_dn,10277,Accuracy,정확도,
tree_dn,10286,Armour Break and Armour,방어도 파괴 및 방어도,
tree_dn,10295,Overzealous,과열된,
tree_dn,10305,Attack Damage with Ally,공격 피해 보유 동료,
tree_dn,10314,Mana Regeneration,마나 재생,
tree_dn,10315,Easy Going,Easy Going,
tree_dn,10320,Minion Life,소환수 생명력,
tree_dn,10362,Armour,방어도,
tree_dn,10364,Skill Speed,Skill 속도,
tree_dn,10371,Whoever Pays Best,Whoever Pays Best,
tree_dn,10372,Stun Threshold,기절 한계값,
tree_dn,10382,Attribute,능력치,
tree_dn,10398,Sudden Escalation,Sudden Escalation,
tree_dn,10423,Exposed to the Inferno,Exposed에 the Inferno,
tree_dn,10429,Trap Mastery,덫 숙련,
tree_dn,10452,Armour and Energy Shield,방어도 및 에너지 보호막,
tree_dn,10472,Mana Flask Recovery,마나 플라스크 Recovery,
tree_dn,10474,Attack Area,공격 범위,
tree_dn,10484,Maximum Rage,최대 격노,
tree_dn,10495,Mana Mastery,마나 숙련,
tree_dn,10499,Necromantic Ward,Necromantic Ward,
tree_dn,10500,Dazing Blocks,Dazing Blocks,
tree_dn,10508,Shield Attack Speed,방패 공격 속도,
tree_dn,10534,Totem Cast and Attack Speed,토템 시전 및 공격 속도,
tree_dn,10552,Stun Threshold from Energy Shield,기절 한계값에서 에너지 보호막,
tree_dn,10561,Navira's Fracturing,Navira's Fracturing,
tree_dn,10571,Stun Threshold,기절 한계값,
tree_dn,10576,Bleeding Damage,출혈 피해,
tree_dn,10602,Reaving,Reaving,
tree_dn,10612,Embodiment of Frost,Embodiment의 서리,
tree_dn,10635,Armour and Energy Shield,방어도 및 에너지 보호막,
tree_dn,10636,Block Chance,막기 확률,
tree_dn,10648,Projectile Damage,투사체 피해,
tree_dn,10671,Attack Damage,공격 피해,
tree_dn,10677,Stun Threshold if not Stunned recently,기절 한계값 if not Stunned recently,
tree_dn,10681,Defensive Stance,Defensive Stance,
tree_dn,10694,Seething Body,Seething Body,
tree_dn,10713,Armour,방어도,
tree_dn,10727,Emboldening Casts,Emboldening Casts,
tree_dn,10729,Energy Shield Mastery,에너지 보호막 숙련,
tree_dn,1073,Ignite Magnitude and Poison Magnitude,점화 Magnitude 및 독 Magnitude,
tree_dn,10731,Quicksand Hourglass,Quicksand Hourglass,
